path,split,instrument,family,pitch,velocity
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-028-050.wav,val,bass_electronic_018,other,28,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-028-075.wav,train,bass_electronic_018,other,28,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-028-100.wav,train,bass_electronic_018,other,28,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-028-127.wav,train,bass_electronic_018,other,28,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-029-050.wav,val,bass_electronic_018,other,29,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-029-100.wav,train,bass_electronic_018,other,29,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-029-127.wav,train,bass_electronic_018,other,29,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-030-025.wav,train,bass_electronic_018,other,30,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-030-075.wav,train,bass_electronic_018,other,30,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-030-100.wav,val,bass_electronic_018,other,30,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-030-127.wav,train,bass_electronic_018,other,30,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-031-050.wav,train,bass_electronic_018,other,31,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-031-075.wav,train,bass_electronic_018,other,31,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-031-100.wav,train,bass_electronic_018,other,31,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-031-127.wav,train,bass_electronic_018,other,31,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-032-050.wav,train,bass_electronic_018,other,32,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-032-075.wav,train,bass_electronic_018,other,32,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-032-100.wav,train,bass_electronic_018,other,32,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-033-025.wav,train,bass_electronic_018,other,33,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-033-050.wav,train,bass_electronic_018,other,33,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-033-100.wav,train,bass_electronic_018,other,33,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-033-127.wav,train,bass_electronic_018,other,33,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-034-025.wav,train,bass_electronic_018,other,34,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-034-050.wav,val,bass_electronic_018,other,34,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-034-075.wav,train,bass_electronic_018,other,34,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-034-100.wav,train,bass_electronic_018,other,34,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-034-127.wav,train,bass_electronic_018,other,34,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-035-025.wav,train,bass_electronic_018,other,35,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-035-050.wav,train,bass_electronic_018,other,35,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-036-025.wav,train,bass_electronic_018,other,36,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-036-050.wav,train,bass_electronic_018,other,36,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-036-075.wav,train,bass_electronic_018,other,36,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-036-100.wav,train,bass_electronic_018,other,36,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-036-127.wav,train,bass_electronic_018,other,36,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-037-075.wav,train,bass_electronic_018,other,37,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-037-127.wav,train,bass_electronic_018,other,37,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-038-025.wav,train,bass_electronic_018,other,38,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-038-050.wav,train,bass_electronic_018,other,38,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-038-075.wav,val,bass_electronic_018,other,38,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-038-100.wav,train,bass_electronic_018,other,38,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-038-127.wav,train,bass_electronic_018,other,38,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-039-025.wav,train,bass_electronic_018,other,39,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-039-050.wav,train,bass_electronic_018,other,39,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-039-075.wav,train,bass_electronic_018,other,39,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-039-100.wav,train,bass_electronic_018,other,39,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-039-127.wav,train,bass_electronic_018,other,39,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-040-025.wav,train,bass_electronic_018,other,40,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-040-075.wav,train,bass_electronic_018,other,40,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-040-127.wav,train,bass_electronic_018,other,40,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-041-025.wav,train,bass_electronic_018,other,41,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-041-075.wav,train,bass_electronic_018,other,41,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-041-100.wav,train,bass_electronic_018,other,41,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-041-127.wav,train,bass_electronic_018,other,41,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-042-025.wav,train,bass_electronic_018,other,42,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-042-050.wav,train,bass_electronic_018,other,42,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-042-075.wav,train,bass_electronic_018,other,42,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-042-100.wav,train,bass_electronic_018,other,42,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-042-127.wav,train,bass_electronic_018,other,42,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-043-025.wav,train,bass_electronic_018,other,43,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-043-050.wav,train,bass_electronic_018,other,43,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-043-100.wav,train,bass_electronic_018,other,43,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-043-127.wav,train,bass_electronic_018,other,43,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-044-025.wav,train,bass_electronic_018,other,44,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-044-050.wav,train,bass_electronic_018,other,44,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-044-100.wav,train,bass_electronic_018,other,44,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-044-127.wav,train,bass_electronic_018,other,44,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-045-025.wav,train,bass_electronic_018,other,45,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-045-050.wav,train,bass_electronic_018,other,45,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-045-100.wav,train,bass_electronic_018,other,45,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-045-127.wav,train,bass_electronic_018,other,45,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-046-025.wav,train,bass_electronic_018,other,46,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-046-050.wav,train,bass_electronic_018,other,46,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-046-075.wav,train,bass_electronic_018,other,46,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-046-100.wav,train,bass_electronic_018,other,46,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-046-127.wav,val,bass_electronic_018,other,46,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-047-025.wav,val,bass_electronic_018,other,47,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-047-050.wav,val,bass_electronic_018,other,47,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-047-075.wav,train,bass_electronic_018,other,47,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-047-100.wav,train,bass_electronic_018,other,47,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-047-127.wav,train,bass_electronic_018,other,47,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-048-025.wav,train,bass_electronic_018,other,48,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-048-050.wav,val,bass_electronic_018,other,48,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-048-100.wav,train,bass_electronic_018,other,48,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-048-127.wav,train,bass_electronic_018,other,48,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-049-025.wav,train,bass_electronic_018,other,49,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-049-100.wav,train,bass_electronic_018,other,49,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-049-127.wav,train,bass_electronic_018,other,49,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-050-050.wav,train,bass_electronic_018,other,50,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-050-100.wav,train,bass_electronic_018,other,50,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-050-127.wav,train,bass_electronic_018,other,50,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-051-025.wav,train,bass_electronic_018,other,51,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-051-050.wav,train,bass_electronic_018,other,51,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-051-075.wav,train,bass_electronic_018,other,51,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-051-127.wav,train,bass_electronic_018,other,51,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-052-025.wav,train,bass_electronic_018,other,52,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-052-050.wav,train,bass_electronic_018,other,52,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-052-100.wav,train,bass_electronic_018,other,52,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-052-127.wav,train,bass_electronic_018,other,52,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-053-025.wav,train,bass_electronic_018,other,53,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-053-050.wav,train,bass_electronic_018,other,53,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-053-100.wav,train,bass_electronic_018,other,53,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-053-127.wav,val,bass_electronic_018,other,53,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-054-025.wav,train,bass_electronic_018,other,54,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-054-075.wav,train,bass_electronic_018,other,54,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-054-127.wav,train,bass_electronic_018,other,54,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-055-025.wav,train,bass_electronic_018,other,55,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-055-050.wav,train,bass_electronic_018,other,55,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-055-075.wav,train,bass_electronic_018,other,55,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-055-100.wav,train,bass_electronic_018,other,55,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-055-127.wav,train,bass_electronic_018,other,55,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-056-050.wav,train,bass_electronic_018,other,56,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-056-075.wav,train,bass_electronic_018,other,56,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-056-100.wav,train,bass_electronic_018,other,56,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-056-127.wav,train,bass_electronic_018,other,56,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-057-025.wav,val,bass_electronic_018,other,57,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-057-050.wav,train,bass_electronic_018,other,57,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-057-075.wav,train,bass_electronic_018,other,57,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-057-127.wav,train,bass_electronic_018,other,57,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-058-025.wav,train,bass_electronic_018,other,58,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-058-050.wav,train,bass_electronic_018,other,58,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-058-075.wav,train,bass_electronic_018,other,58,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-058-127.wav,val,bass_electronic_018,other,58,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-059-050.wav,train,bass_electronic_018,other,59,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-059-075.wav,train,bass_electronic_018,other,59,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-059-100.wav,val,bass_electronic_018,other,59,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-059-127.wav,train,bass_electronic_018,other,59,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-060-025.wav,train,bass_electronic_018,other,60,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-060-050.wav,train,bass_electronic_018,other,60,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-060-100.wav,train,bass_electronic_018,other,60,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-060-127.wav,train,bass_electronic_018,other,60,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-061-025.wav,train,bass_electronic_018,other,61,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-061-100.wav,train,bass_electronic_018,other,61,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-061-127.wav,train,bass_electronic_018,other,61,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-062-050.wav,train,bass_electronic_018,other,62,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-062-100.wav,train,bass_electronic_018,other,62,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-062-127.wav,train,bass_electronic_018,other,62,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-063-025.wav,train,bass_electronic_018,other,63,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-063-100.wav,train,bass_electronic_018,other,63,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-063-127.wav,train,bass_electronic_018,other,63,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-022-025.wav,train,bass_electronic_025,other,22,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-022-075.wav,train,bass_electronic_025,other,22,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-022-100.wav,train,bass_electronic_025,other,22,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-022-127.wav,train,bass_electronic_025,other,22,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-023-025.wav,train,bass_electronic_025,other,23,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-023-050.wav,train,bass_electronic_025,other,23,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-023-075.wav,train,bass_electronic_025,other,23,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-023-127.wav,train,bass_electronic_025,other,23,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-024-025.wav,train,bass_electronic_025,other,24,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-024-050.wav,train,bass_electronic_025,other,24,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-024-075.wav,train,bass_electronic_025,other,24,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-024-100.wav,train,bass_electronic_025,other,24,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-025-050.wav,train,bass_electronic_025,other,25,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-025-075.wav,train,bass_electronic_025,other,25,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-025-100.wav,train,bass_electronic_025,other,25,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-026-025.wav,train,bass_electronic_025,other,26,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-026-050.wav,train,bass_electronic_025,other,26,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-026-075.wav,val,bass_electronic_025,other,26,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-026-100.wav,train,bass_electronic_025,other,26,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-026-127.wav,train,bass_electronic_025,other,26,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-027-025.wav,train,bass_electronic_025,other,27,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-027-050.wav,train,bass_electronic_025,other,27,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-027-075.wav,train,bass_electronic_025,other,27,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-027-100.wav,train,bass_electronic_025,other,27,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-028-025.wav,train,bass_electronic_025,other,28,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-028-050.wav,train,bass_electronic_025,other,28,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-028-075.wav,train,bass_electronic_025,other,28,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-028-127.wav,train,bass_electronic_025,other,28,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-029-025.wav,train,bass_electronic_025,other,29,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-029-050.wav,val,bass_electronic_025,other,29,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-029-075.wav,val,bass_electronic_025,other,29,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-029-100.wav,train,bass_electronic_025,other,29,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-030-025.wav,train,bass_electronic_025,other,30,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-030-050.wav,train,bass_electronic_025,other,30,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-030-075.wav,train,bass_electronic_025,other,30,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-030-100.wav,train,bass_electronic_025,other,30,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-030-127.wav,train,bass_electronic_025,other,30,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-031-025.wav,train,bass_electronic_025,other,31,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-031-050.wav,val,bass_electronic_025,other,31,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-031-075.wav,val,bass_electronic_025,other,31,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-031-100.wav,train,bass_electronic_025,other,31,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-032-025.wav,train,bass_electronic_025,other,32,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-032-050.wav,train,bass_electronic_025,other,32,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-032-100.wav,train,bass_electronic_025,other,32,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-033-025.wav,train,bass_electronic_025,other,33,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-033-050.wav,train,bass_electronic_025,other,33,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-033-075.wav,train,bass_electronic_025,other,33,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-033-100.wav,train,bass_electronic_025,other,33,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-034-025.wav,train,bass_electronic_025,other,34,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-034-050.wav,train,bass_electronic_025,other,34,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_025\bass_electronic_025-034-075.wav,train,bass_electronic_025,other,34,75
